Student_ID	Program	Term	Course	Title	Grade	Credit_Hrs	Grade_Pts	Section	Int_Transfers	Notes_Codes
5688969	BSSWE	2021/WI	CHEM*1982	GENERAL APPLIED CHEMISTRY	A	3.00	12.0	FR01B		
5688969	BSE.UNDC	2020/FA	CS*1003	PROG & PROBLEM SOLVING FOR ENG	A+	4.00	17.2	FR02A		
5688969	BSE.UNDC	2020/FA	ENGG*1001	ENG PRACTICE LECTURE SERIES	CR	0.00		FR01A		
5688969	BSE.UNDC	2020/FA	ENGG*1003	ENG. TECHNICAL COMMUNICATIONS	A-	4.00	14.8	FR05A		
5688969	BSE.UNDC	2020/FA	ENGG*1015	INTRO TO ENG DESIGN & PROB SOL	A-	2.00	7.4	FR06A		
5688969	BSE.UNDC	2020/FA	MATH*1003	INTRO TO CALCULUS I	A	3.00	12.0	FR07A		
5688969	BSE.UNDC	2020/FA	MATH*1503	INTRODUC.TO LINEAR ALGEBRA	B-	3.00	8.1	FR01A		
5688969	BSSWE	2021/WI	MATH*1013	INTRO TO CALCULUS II	A-	3.00	11.1	FR16B		
5688969	BSE.UNDC	2020/FA	PHYS*1081	FOUNDATIONS OF PHYS FOR ENGG	A+	5.00	21.5	FR03A		
5688969	BSSWE	2021/WI	CHEM*1985	GENERAL APPLIED CHEMISTRY LAB	A-	2.00	7.4	FR01B		
5688969	BSSWE	2021/WI	CS*1303	DISCRETE STRUCTURES	A	4.00	16.0	FR01B		
5688969	BSSWE	2021/WI	CS*1073	INTR COMP PROG I (IN JAVA)	C	4.00	8.0	FR02B		
5688969	BSSWE	2021/WI	ECE*1813	ELECTRICITY & MAGNETISM	B-	4.00	10.8	FR04B		
5688969	BSSWE	2021/SM	CS*1083	INTRO COMP PROG II (IN JAVA)		4.00		FRLN		
5688969	BSSWE	2021/FA	CS*1103	INTRODUCTION TO DATABASES		4.00		FR01A		
5688969	BSSWE	2021/FA	ECE*2214	DIGITAL LOGIC DESIGN		3.00		FR01A		
5688969	BSSWE	2021/FA	ECE*2701	ELECTR.CIRCUITS & ELECTRONICS		4.00		FR02A		
5688969	BSSWE	2021/FA	ECE*2215	DIGITAL LOGIC DESIGN LAB		1.00		FR02A		
5004617	BSSWE	2019/FA	ENGG*1001	ENG PRACTICE LECTURE SERIES	CR	0.00		FR01A		
5004617	BSSWE	2019/FA	ENGG*1003	ENG. TECHNICAL COMMUNICATIONS	A-	4.00	14.8	FR03A		
5004617	BSSWE	2019/FA	ENGG*1015	INTRO TO ENG DESIGN & PROB SOL	A	2.00	8.0	FR03A		
5004617	BSSWE	2019/FA	MATH*1503	INTRODUC.TO LINEAR ALGEBRA	B	3.00	9.0	FR01A		
5004617	BSSWE	2019/FA	CS*1073	INTR COMP PROG I (IN JAVA)	F	4.00	0.0	FR01A		
5004617	BSSWE	2019/FA	MATH*1003	INTRO TO CALCULUS I	A+	3.00	12.9	FR05A		
5004617	BSSWE	2019/FA	PHYS*1081	FOUNDATIONS OF PHYS FOR ENGG	B-	5.00	13.5	FR02A		
5004617	BSSWE	2020/WI	CHEM*1982	GENERAL APPLIED CHEMISTRY	A	3.00	12.0	FR01B		
5004617	BSSWE	2020/WI	MATH*1013	INTRO TO CALCULUS II	A	3.00	12.0	FR13B		
5004617	BSSWE	2020/WI	CHEM*1987	GENERAL APPLIED CHEMISTRY LAB	A	2.00	8.0	FR01B		
5004617	BSSWE	2020/WI	CS*1073	INTR COMP PROG I (IN JAVA)	A-	4.00	14.8	FR02B		
5004617	BSSWE	2020/WI	ECE*1813	ELECTRICITY & MAGNETISM	B	4.00	12.0	FR04B		
5004617	BSSWE	2020/WI	CS*1303	DISCRETE STRUCTURES	A+	4.00	17.2	FR01B		
5004617	BSSWE	2020/SM	CS*1083	INTRO COMP PROG II (IN JAVA)	A	4.00	16.0	FRE1A		
5004617	BSSWE	2020/SM	SOCI*2533	INFORMATION SOCIETY	A	3.00	12.0	FRE1A		
5004617	BSSWE	2020/SM	BIOL*1719	HUMAN ANATOMY I - ONLINE	A+	4.00	17.2	FRL		
5004617	BSSWE	2020/SM	BIOL*1789	HUMAN PHYSIOLOGY I - ONLINE	A+	4.00	17.2	FRL		
5004617	BSSWE	2020/FA	ECE*2214	DIGITAL LOGIC DESIGN	A	3.00	12.0	FR01A		
5004617	BSSWE	2020/FA	CS*2043	SOFTWARE ENGINEERING I	A+	4.00	17.2	FR01A		
5004617	BSSWE	2020/FA	ECE*2701	ELECTR.CIRCUITS & ELECTRONICS	A	4.00	16.0	FR02A		
5004617	BSSWE	2020/FA	ECE*2215	DIGITAL LOGIC DESIGN LAB	A	1.00	4.0	FR01A		
5004617	BSSWE	2020/FA	CS*1103	INTRODUCTION TO DATABASES	B+	4.00	13.2	FR01A		
5004617	BSSWE	2020/FA	STAT*2593	PROB & STAT FOR ENG	A	3.00	12.0	FR01A		
5004617	BSSWE	2021/WI	CS*COOP	CO-OP WORK TERM		0.00		FR01B		
5004617	BSSWE	2021/FA	SWE*4103	SOFTWARE QUALITY & PROJ.MGMT.		4.00		FR01A		
5004617	BSSWE	2021/FA	ECE*3221	COMPUTER ORGANIZATION		4.00		FR02A		
5004617	BSSWE	2021/FA	CS*2613	PROG LANG LAB		4.00		FR01A		
5004617	BSSWE	2021/FA	CS*2383	DATA STRUCTURES AND ALGORITHMS		4.00		FR01A		
5004617	BSSWE	2022/WI	CS*2333	COMPUTAB.& FORMAL LANG.		4.00		FR01B		
5004617	BSSWE	2022/WI	SWE*4403	SOFTWARE ARCH.& DESIGN PATTERN		4.00		FR01B		
5004617	BSSWE	2022/WI	CS*3503	SYST. ANAL., DESIGN & PRO.MGMT		4.00		FR01B		
5004617	BSSWE	2022/WI	ECE*3232	EMBEDDED SYSTEMS DESIGN		4.00		FR01B		
5004617	BSSWE	2022/WI	ECE*4242	COMPUTER ARCHITECTURE		4.00		FR01B		
5004617	BSSWE	2021/FA	CS*2263	SYSTEMS SOFTWARE DEVELOPMENT		4.00		FR01A		
5004617	BSSWE	2021/SM	CS*COOP	CO-OP WORK TERM		0.00		FR01		
5871602	BSSWE	2021/WI	CHEM*1982	GENERAL APPLIED CHEMISTRY	A+	3.00	12.9	FR01B		
5871602	BSSWE	2021/WI	CS*1083	INTRO COMP PROG II (IN JAVA)	B-	4.00	10.8	FR01B		
5871602	BSSWE	2021/WI	CS*1103	INTRODUCTION TO DATABASES	B+	4.00	13.2	FR02B		
5871602	BSSWE	2020/FA	ENGG*1001	ENG PRACTICE LECTURE SERIES	CR	0.00		FR01A		
5871602	BSSWE	2020/FA	MATH*1003	INTRO TO CALCULUS I	B	3.00	9.0	FR05A		
5871602	BSSWE	2020/FA	MATH*1503	INTRODUC.TO LINEAR ALGEBRA	A	3.00	12.0	FR01A		
5871602	BSSWE	2020/FA	PHYS*1081	FOUNDATIONS OF PHYS FOR ENGG	C-	5.00	16.50	FR02A		
5871602	BSSWE	2020/FA	CS*1073	INTR COMP PROG I (IN JAVA)	C	4.00	8.0	FR01A		
5871602	BSSWE	2020/FA	ENGG*1015	INTRO TO ENG DESIGN & PROB SOL	B	2.00	6.0	FR02A		
5871602	BSSWE	2020/FA	ENGG*1003	ENG. TECHNICAL COMMUNICATIONS	B+	4.00	13.2	FR06A		
5871602	BSSWE	2021/WI	CHEM*1985	GENERAL APPLIED CHEMISTRY LAB	B-	2.00	5.4	FR01B		
5871602	BSSWE	2021/WI	ECE*1813	ELECTRICITY & MAGNETISM	B-	4.00	10.8	FR01B		
5871602	BSSWE	2021/WI	MATH*1013	INTRO TO CALCULUS II	B-	3.00	8.1	FR01B		
5871602	BSSWE	2021/FA	CS*1303	DISCRETE STRUCTURES		4.00		FR01A		
5871602	BSSWE	2021/FA	CS*2043	SOFTWARE ENGINEERING I		4.00		FR02A		
5871602	BSSWE	2021/FA	ECE*2021	ELECTRICAL DESIGN EXPER & MEAS		2.00		FR02A		
5871602	BSSWE	2021/FA	ECE*2214	DIGITAL LOGIC DESIGN		3.00		FR01A		
5871602	BSSWE	2021/FA	ECE*2701	ELECTR.CIRCUITS & ELECTRONICS		4.00		FR02A		
5871602	BSSWE	2021/FA	ECE*2215	DIGITAL LOGIC DESIGN LAB		1.00		FR01A		
5871602	BSSWE	2021/FA	CS*2613	PROG LANG LAB		4.00		FR01A		
